customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,tech_support,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
C00000,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),80.95,3165.32,No
C00001,Female,0,No,No,21,Yes,Yes,No,No,No internet service,Month-to-month,No,Credit card (automatic),36.75,7768.05,Yes
C00002,Male,0,No,Yes,15,Yes,No,No,No,No,Two year,No,Credit card (automatic),116.54,6283.81,No
C00003,Male,1,Yes,No,12,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),97.61,6467.28,No
C00004,Male,0,Yes,No,61,Yes,No,DSL,No,Yes,Month-to-month,Yes,Bank transfer (automatic),96.89,4800.88,No
C00005,Female,0,Yes,No,42,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,No,Credit card (automatic),33.34,5663.11,No
C00006,Male,1,Yes,Yes,31,Yes,No,No,No,No,One year,No,Bank transfer (automatic),19.77,4333.12,No
C00007,Male,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,76.54,6302.26,Yes
C00008,Male,1,No,No,56,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),32.41,6233.0,No
C00009,Female,1,No,No,64,Yes,No,DSL,No,No,Two year,Yes,Credit card (automatic),96.04,281.65,No
C00010,Male,0,No,No,68,Yes,No,Fiber optic,No,No internet service,One year,Yes,Bank transfer (automatic),59.61,5376.71,No
C00011,Male,1,Yes,No,48,Yes,No phone service,DSL,No,Yes,One year,Yes,Credit card (automatic),51.86,5360.08,No
C00012,Male,0,No,No,32,Yes,No,Fiber optic,No,No internet service,Two year,Yes,Mailed check,25.36,589.01,No
C00013,Male,0,Yes,No,18,No,No,DSL,No,No,Month-to-month,No,Credit card (automatic),117.61,3498.85,No
C00014,Female,0,No,No,35,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,113.6,7641.53,No
C00015,Male,1,No,Yes,69,Yes,Yes,No,No internet service,No,Month-to-month,No,Mailed check,31.16,8105.07,No
C00016,Female,0,No,Yes,14,Yes,No phone service,DSL,No internet service,No internet service,One year,Yes,Bank transfer (automatic),51.28,6652.71,No
C00017,Female,0,Yes,Yes,23,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),57.08,1302.78,Yes
C00018,Female,0,Yes,Yes,26,Yes,Yes,DSL,No internet service,Yes,Month-to-month,No,Credit card (automatic),47.68,3196.37,Yes
C00019,Male,0,No,Yes,48,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Electronic check,111.45,1566.42,No
C00020,Female,0,No,Yes,22,Yes,No phone service,Fiber optic,Yes,No,Month-to-month,No,Mailed check,90.13,5549.42,Yes
C00021,Male,0,No,Yes,32,Yes,No phone service,DSL,No,No,Month-to-month,No,Bank transfer (automatic),113.59,6575.81,No
C00022,Female,0,Yes,No,40,Yes,No,Fiber optic,No,No internet service,Month-to-month,No,Credit card (automatic),105.45,7514.1,No
C00023,Female,0,Yes,Yes,55,Yes,No,DSL,No internet service,No internet service,One year,Yes,Electronic check,93.45,7318.02,No
C00024,Female,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),87.7,859.5,Yes
C00025,Female,0,No,Yes,30,Yes,No,Fiber optic,No,No internet service,Month-to-month,No,Credit card (automatic),104.62,1083.97,No
C00026,Female,0,Yes,No,64,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),86.41,7733.84,No
C00027,Female,1,No,No,17,No,No phone service,Fiber optic,No internet service,No internet service,One year,No,Electronic check,36.87,7174.98,No
C00028,Female,0,Yes,No,5,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,No,Bank transfer (automatic),82.81,3922.93,No
C00029,Female,1,No,No,51,Yes,No,DSL,No,Yes,Month-to-month,Yes,Credit card (automatic),69.5,3665.7,No
C00030,Male,0,No,Yes,39,Yes,No,Fiber optic,No,No internet service,One year,No,Bank transfer (automatic),116.19,4706.85,No
C00031,Male,0,Yes,No,64,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,69.0,5078.67,No
C00032,Female,0,No,No,41,Yes,Yes,DSL,No internet service,No internet service,Month-to-month,No,Electronic check,21.85,2174.26,No
C00033,Female,0,No,No,67,Yes,No phone service,Fiber optic,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),44.42,3442.54,No
C00034,Female,0,No,No,31,No,No,DSL,Yes,No,Two year,No,Electronic check,109.74,5274.24,No
C00035,Male,0,Yes,No,9,Yes,No,DSL,No,Yes,Month-to-month,No,Credit card (automatic),114.24,1767.56,Yes
C00036,Female,0,No,No,68,Yes,Yes,DSL,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),90.85,8490.1,No
C00037,Male,0,Yes,Yes,8,Yes,No phone service,DSL,No internet service,No,Two year,No,Credit card (automatic),23.69,2417.89,Yes
C00038,Male,0,Yes,No,68,Yes,Yes,DSL,No,No,Month-to-month,No,Bank transfer (automatic),20.35,4703.59,Yes
